gene_name,LFC_pngf,PVal_pngf,LFC_wt,PVal_wt
0610007C21Rik,0.238280007500002,0.0711622653188357,-0.303284374999999,0.0126695091140334
0610007L01Rik,0.073048137499999,0.582017574726531,-0.0941434175000015,0.448855313356257
0610007N19Rik,0.136702624499998,0.508168921750848,0.0589942362499993,0.648566354167322
0610007P08Rik,0.226527164999998,0.258881538357959,0.440761969999999,0.0159712030301826
0610007P14Rik,0.285623872500002,0.0237357977288709,0.216527762499998,0.0738231939795259
0610007P22Rik,0.0508159475000003,0.676296898383151,0.0447825147500005,0.799896018921549
0610009B22Rik,-0.149328587500001,0.253972555978788,-0.5484076925,0.00144573393862734
0610009D07Rik,0.537551784999998,0.0168611429577395,0.00669222750000031,0.963280245002668
0610009E02Rik,-0.617073645500003,0.00515170188618669,0.1587166225,0.443099619323221
0610009L18Rik,-0.139670672499999,0.23635882692788,0.0793764025000012,0.480331630006358
0610009O20Rik,0.00706821750000053,0.94975926737674,-0.181464099999998,0.127934765837334
0610010F05Rik,-0.0849329624999982,0.60897637209582,-0.147041595000003,0.333921045136288
0610010K14Rik,0.0177878949999979,0.895038841681285,0.149947244999998,0.302779797014315
0610010O12Rik,0.109964913750002,0.439019887450327,-0.0762509277500012,0.673005118949994
0610011F06Rik,0.459818247500003,0.00337712415658518,0.286877777500001,0.0194797897278877
0610011L14Rik,0.150644160000002,0.267786175561549,-0.00583734500000155,0.955457136880313
0610012G03Rik,-0.141744436,0.34383360498537,-0.329352947,0.148295190747777
0610030E20Rik,-0.0324004624999983,0.824361118494399,-0.0246887149999964,0.856956219392559
0610031J06Rik,0.324826004999998,0.0872584882451484,-0.0334182499999987,0.869931211303914
0610037L13Rik,0.054754664999999,0.700193244131199,0.408828975499997,0.0499019493107683
0610037P05Rik,0.133998317500005,0.478177954599409,-0.0163318550000007,0.917522921390041
0610039H22Rik,-0.516632697000002,0.041004784245598,0.0734815452500008,0.69057466012506
0610040B10Rik,-0.72903189575,0.0143295376424703,-1.1661440175,1.172269251301e-5
0610040J01Rik,-0.343245777500002,0.0105251573280198,-0.0416337774999995,0.702407102780647
0610042G04Rik,0.995965537999999,0.0452510397250781,-0.503752977999998,0.397615527323135
0910001L09Rik,0.532646002500002,0.00158280398181068,0.233991625000002,0.064786525575797
100043387,-0.737824229249998,0.00426186992302363,-0.9745867,0.00105636639273549
1010001B22Rik,-0.451250345249999,0.0489909482551273,-0.113484597000001,0.41770152768152
1110001A16Rik,-0.0972215124999991,0.56066794458112,0.432754805,0.0135010699130686
1110001J03Rik,0.437804215000002,0.00654302152562113,0.592402450000002,3.9622202790377e-4
1110002B05Rik,0.0940700924999991,0.517479050288268,0.0577975500000019,0.679469432755903
