Symbol,Approved.Symbol,chromosome
ABCA6,ABCA6,17
ABCX,ABCA7,19
ABCA7,ABCA7,19
KIAA0822,ABCA8,17
ABCA8,ABCA8,17
ABCA9,ABCA9,17
EST640918,ABCA9,17
ABCA9-AS1,ABCA9-AS1,17
GP170,ABCB1,7
MDR1,ABCB1,7
ABCB1,ABCB1,7
ABC20,ABCB1,7
CD243,ABCB1,7
CLCS,ABCB1,7
P-GP,ABCB1,7
PGY1,ABCB1,7
P-170,ABCB1,7
ABCB10,ABCB10,1
M-ABC2,ABCB10,1
MTABC2,ABCB10,1
EST20237,ABCB10,1
MABC2,ABCB10P1,15
ABCB10P,ABCB10P1,15
ABCB10P2,ABCB10P1,15
M-ABC2,ABCB10P1,15
ABCB10P1,ABCB10P1,15
ABCB10P3,ABCB10P3,15
ABCB10P4,ABCB10P4,15
PGY4,ABCB11,2
PFIC2,ABCB11,2
PFIC-2,ABCB11,2
ABC16,ABCB11,2
ABCB11,ABCB11,2
SPGP,ABCB11,2
BSEP,ABCB11,2
GBD1,ABCB4,7
MDR2,ABCB4,7
PFIC-3,ABCB4,7
PGY3,ABCB4,7
MDR3,ABCB4,7
ABCB4,ABCB4,7
ABCB5,ABCB5,7
ABCB5BETA,ABCB5,7
EST422562,ABCB5,7
ABCB5ALPHA,ABCB5,7
UMAT,ABCB6,2
EST45597,ABCB6,2
MTABC3,ABCB6,2
ABCB6,ABCB6,2
ABCB7,ABCB7,X
EST140535,ABCB7,X
ASAT,ABCB7,X
ABC7,ABCB7,X
ATM1P,ABCB7,X
MABC1,ABCB8,7
MITOSUR,ABCB8,7
ABCB8,ABCB8,7
EST328128,ABCB8,7
M-ABC1,ABCB8,7
EST122234,ABCB9,12
ABCB9,ABCB9,12
MRP,ABCC1,16
ABCC1,ABCC1,16
MRP1,ABCC1,16
GS-X,ABCC1,16
SIMRP7,ABCC10,6
ABCC10,ABCC10,6
MRP7,ABCC10,6
EST182763,ABCC10,6
ABCC11,ABCC11,16
MRP8,ABCC11,16
ABCC12,ABCC12,16
MRP9,ABCC12,16
PRED6,ABCC13,21
ABCC13,ABCC13,21
ABCC13P,ABCC13,21
C21orf73,ABCC13,21
DJS,ABCC2,10
ABCC2,ABCC2,10
CMRP,ABCC2,10
MRP2,ABCC2,10
CMOAT,ABCC2,10
CMOAT2,ABCC3,17
MOAT-D,ABCC3,17
MRP3,ABCC3,17
ABCC3,ABCC3,17
EST90757,ABCC3,17
MLP2,ABCC3,17
EST170205,ABCC4,13
MOATB,ABCC4,13
ABCC4,ABCC4,13
MOAT-B,ABCC4,13
MRP4,ABCC4,13
MOAT-C,ABCC5,3
MRP5,ABCC5,3
ABCC5,ABCC5,3
EST277145,ABCC5,3
SMRP,ABCC5,3
ABCC5-AS1,ABCC5-AS1,3
MLP1,ABCC6,16
ABCC6,ABCC6,16
ARA,ABCC6,16
URG7,ABCC6,16
PXE,ABCC6,16
EST349056,ABCC6,16
MRP6,ABCC6,16
ABCC6P1,ABCC6P1,16
ABCC6P2,ABCC6P2,16
SUR1,ABCC8,11
HRINS,ABCC8,11
HI,ABCC8,11
TNDM2,ABCC8,11
SUR,ABCC8,11
ABCC8,ABCC8,11
MRP8,ABCC8,11
ABC36,ABCC8,11
HHF1,ABCC8,11
PHHI,ABCC8,11
ABCC9,ABCC9,12
CMD1O,ABCC9,12
SUR2,ABCC9,12
ALDP,ABCD1,X
ADRENOLEUKODYSTROPHY,ABCD1,X
ALD,ABCD1,X
ABCD1,ABCD1,X
AMN,ABCD1,X
ABCD1P1,ABCD1P1,2
BA453N3.6,ABCD1P2,10
ABCD1P2,ABCD1P2,10
ABCD1P3,ABCD1P3,16
ABCD1P4,ABCD1P4,22
ABCD1P5,ABCD1P5,2
ALDRP,ABCD2,12
ALDL1,ABCD2,12
ABCD2,ABCD2,12
ALDR,ABCD2,12
PXMP1,ABCD3,1
ABCD3,ABCD3,1
ZWS2,ABCD3,1
PMP70,ABCD3,1
EST352188,ABCD4,14
P70R,ABCD4,14
PMP69,ABCD4,14
PXMP1L,ABCD4,14
ABCD4,ABCD4,14
RLI1,ABCE1,4
RLI,ABCE1,4
RNASEL1,ABCE1,4
RNS4I,ABCE1,4
OABP,ABCE1,4
ABCE1,ABCE1,4
RNASELI,ABCE1,4
ABCF1,ABCF1,6
ABC50,ABCF1,6
EST123147,ABCF1,6
ABCF1-DT,ABCF1-DT,6
ABC28,ABCF2,7
EST133090,ABCF2,7
ABCF2,ABCF2,7
HUSSY-18,ABCF2,7
M-ABC1,ABCF2,7
ABCF2-H2BK1,ABCF2-H2BK1,7
ABCF2-H2BE1,ABCF2-H2BK1,7
ABCF2P1,ABCF2P1,3
ABCF2P2,ABCF2P2,7
EST201864,ABCF3,3
ABCF3,ABCF3,3
ABC8,ABCG1,21
ABCG1,ABCG1,21
EST157481,ABCG2,4
ABCG2,ABCG2,4
BCRP,ABCG2,4
CD338,ABCG2,4
ABCP,ABCG2,4
MXR,ABCG2,4
WHITE2,ABCG4,11
ABCG4,ABCG4,11
ABCG5,ABCG5,2
STSL,ABCG5,2
ABCG8,ABCG8,2
GBD4,ABCG8,2
FLJ36128,ABHD1,2
LABH1,ABHD1,2
ABHD1,ABHD1,2
FLJ11342,ABHD10,3
ABHD10,ABHD10,3
ABHD11,ABHD11,7
PP1226,ABHD11,7
WBSCR21,ABHD11,7
BEM46L2,ABHD12,20
ABHD12A,ABHD12,20
C20orf22,ABHD12,20
ABHD12,ABHD12,20
DJ965G21.2,ABHD12,20
DKFZP434P106,ABHD12,20
ABHD12B,ABHD12B,14
BEM46L3,ABHD12B,14
C14orf29,ABHD12B,14
ABHD13,ABHD13,13
BEM46L1,ABHD13,13
FLJ14906,ABHD13,13
C13orf6,ABHD13,13
BA153I24.2,ABHD13,13
DKFZP564O243,ABHD14A,3
ABHD14A,ABHD14A,3
DORZ1,ABHD14A,3
ABHD14A-ACY1,ABHD14A-ACY1,3
ABHD14B,ABHD14B,3
MGC15429,ABHD14B,3
CIB,ABHD14B,3
ABHD15,ABHD15,17
LINC-TP53I13,ABHD15-AS1,17
ABHD15-AS1,ABHD15-AS1,17
LNC-TP53I13,ABHD15-AS1,17
ABHD16A,ABHD16A,6
BAT5,ABHD16A,6
D6S82E,ABHD16A,6
NG26,ABHD16A,6
DJ591C20.1,ABHD16B,20
C20orf135,ABHD16B,20
ABHD16B,ABHD16B,20
ABHD17A,ABHD17A,19
FAM108A1,ABHD17A,19
C19orf27,ABHD17A,19
MGC5244,ABHD17A,19
C1orf47,ABHD17AP1,1
FAM108A11P,ABHD17AP1,1
FAM108A2,ABHD17AP1,1
ABHD17AP2,ABHD17AP1,1
ABHD17AP1,ABHD17AP1,1
FAM108A3P,ABHD17AP1,1
FAM108A3,ABHD17AP1,1
ABHD17AP3,ABHD17AP3,1
FAM108A4,ABHD17AP3,1
FAM108A4P,ABHD17AP3,1
FAM108A5,ABHD17AP4,22
FAM108A5P,ABHD17AP4,22
ABHD17AP4,ABHD17AP4,22
FAM108A6P,ABHD17AP5,22
FAM108A6,ABHD17AP5,22
ABHD17AP5,ABHD17AP5,22
FAM108A7P,ABHD17AP6,17
ABHD17AP6,ABHD17AP6,17
FAM108A8P,ABHD17AP7,16
ABHD17AP7,ABHD17AP7,16
FAM108A9P,ABHD17AP8,16
ABHD17AP8,ABHD17AP8,16
ABHD17AP9,ABHD17AP9,16
FAM108A10P,ABHD17AP9,16
C9orf77,ABHD17B,9
FAM108B1,ABHD17B,9
ABHD17B,ABHD17B,9
CGI-67,ABHD17B,9
FAM108C1,ABHD17C,15
ABHD17C,ABHD17C,15
FLJ21106,ABHD18,4
ABHD18,ABHD18,4
C4orf29,ABHD18,4
LABH2,ABHD2,15
ABHD2,ABHD2,15
ABHD3,ABHD3,18
LABH3,ABHD3,18
ABHD4,ABHD4,14
FLJ12816,ABHD4,14
NCIE2,ABHD5,3
CGI-58,ABHD5,3
ABHD5,ABHD5,3
ABHD6,ABHD6,3
MGC14280,ABHD8,19
ABHD8,ABHD8,19
FLJ11743,ABHD8,19
MGC2512,ABHD8,19
SSH3BP1,ABI1,10
ABI-1,ABI1,10
ABI1,ABI1,10
E3B1,ABI1,10
SSH3BP1P,ABI1P1,14
ABI1P,ABI1P1,14
ABI1P1,ABI1P1,14
ABI-2,ABI2,2
ABI2B,ABI2,2
ABLBP3,ABI2,2
ARGBPIA,ABI2,2
AIP-1,ABI2,2
ABI2,ABI2,2
SSH3BP2,ABI2,2
NESH,ABI3,17
ABI3,ABI3,17
SSH3BP3,ABI3,17
TARSH,ABI3BP,3
NESHBP,ABI3BP,3
ABI3BP,ABI3BP,3
DKFZP586L2024,ABI3BP,3
FLJ20457,ABITRAM,9
SIMIATE,ABITRAM,9
ABITRAM,ABITRAM,9
FAM206A,ABITRAM,9
CG-8,ABITRAM,9
C9orf6,ABITRAM,9
ABITRAMP1,ABITRAMP1,13
FAM206BP,ABITRAMP1,13
C-ABL,ABL1,9
ABL1,ABL1,9
ABL,ABL1,9
JTK7,ABL1,9
P150,ABL1,9
ARG,ABL2,1
ABLL,ABL2,1
ABL2,ABL2,1
ABLIM,ABLIM1,10
ABLIM1,ABLIM1,10
LIMATIN,ABLIM1,10
LIMAB1,ABLIM1,10
ABLIM2,ABLIM2,4
KIAA1808,ABLIM2,4
KIAA0843,ABLIM3,5
ABLIM3,ABLIM3,5
A3GALNT,ABO,9
A3GALT1,ABO,9
ABO,ABO,9
ABR,ABR,17
MDB,ABR,17
ABR-AS1,ABR-AS1,17
STARS,ABRA,8
ABRA,ABRA,8
PRO2013,ABRACL,6
C6orf115,ABRACL,6
HSPC280,ABRACL,6
COSTARS,ABRACL,6
ABRACL,ABRACL,6
ABRAXAS,ABRAXAS1,4
ABRAXAS1,ABRAXAS1,4
CCDC98,ABRAXAS1,4
FLJ13614,ABRAXAS1,4
ABRA1,ABRAXAS1,4
FAM175A,ABRAXAS1,4
ABRAXAS1P1,ABRAXAS1P1,3
ABRAXAS1P2,ABRAXAS1P2,8
FAM175B,ABRAXAS2,10
ABRO1,ABRAXAS2,10
EM:AC068896.4,ABRAXAS2,10
KIAA0157,ABRAXAS2,10
ABRAXAS2,ABRAXAS2,10
ESF2,ABT1,6
ABT1,ABT1,6
ABT1P1,ABT1P1,4
BPOZ,ABTB1,3
BTBD21,ABTB1,3
EF1ABP,ABTB1,3
BPOZ-2,ABTB1,3
BTB3,ABTB1,3
ABTB1,ABTB1,3
BTBD22,ABTB2,11
ABTB2A,ABTB2,11
ABTB2,ABTB2,11
DKFZP586C1619,ABTB2,11
ABTB2B,ABTB3,12
ABTB3,ABTB3,12
BTBD11,ABTB3,12
FLJ33957,ABTB3,12
LNC-MYD88,ACAA1,3
ACAA1,ACAA1,3
ACAA2,ACAA2,18
DSAEC,ACAA2,18
ACAA2P1,ACAA2P1,X
ACCA,ACACA,17
ACC-ALPHA,ACACA,17
ACACALPHA,ACACA,17
HACC1,ACACA,17
ACC,ACACA,17
ACAC1,ACACA,17
ACAC,ACACA,17
ACCALPHA,ACACA,17
ACACA,ACACA,17
ACC1,ACACA,17
ACACBETA,ACACB,12
ACCBETA,ACACB,12
ACC-BETA,ACACB,12
HACC275,ACACB,12
ACACB,ACACB,12
ACC2,ACACB,12
ACCB,ACACB,12
ACAD10,ACAD10,12
MGC5601,ACAD10,12
FLJ12592,ACAD11,3
ACAD11,ACAD11,3
ACAD8,ACAD8,11
NPD002,ACAD9,3
MGC14452,ACAD9,3
ACAD9,ACAD9,3
ACAD9-DT,ACAD9-DT,3
LCAD,ACADL,2
ACADL,ACADL,2
ACAD4,ACADL,2
MCADH,ACADM,1
ACAD1,ACADM,1
MCAD,ACADM,1
ACADM,ACADM,1
SCAD,ACADS,12
ACAD3,ACADS,12
ACADS,ACADS,12
SBCAD,ACADSB,10
ACADSB,ACADSB,10
ACAD7,ACADSB,10
LCACD,ACADVL,17
ACADVL,ACADVL,17
ACAD6,ACADVL,17
VLCAD,ACADVL,17
AGC1,ACAN,15
CSPG1,ACAN,15
MSK16,ACAN,15
CSPGCP,ACAN,15
ACAN,ACAN,15
KIAA0050,ACAP1,17
ACAP1,ACAP1,17
CENTB1,ACAP1,17
ACAP2,ACAP2,3
KIAA0041,ACAP2,3
CNT-B2,ACAP2,3
CENTB2,ACAP2,3
ACAP2-IT1,ACAP2-IT1,3
KIAA1716,ACAP3,1
ACAP3,ACAP3,1
CENTB5,ACAP3,1
THIL,ACAT1,11
ACAT,ACAT1,11
ACAT1,ACAT1,11
ACAT2,ACAT2,6
GOLPH1,ACBD3,1
GOCAP1,ACBD3,1
PAP7,ACBD3,1
ACBD3,ACBD3,1
GCP60,ACBD3,1
ACBD3-AS1,ACBD3-AS1,1
RP11-275I14.4,ACBD3-AS1,1
FLJ13322,ACBD4,17
ACBD4,ACBD4,17
ACBD5,ACBD5,10
KIAA1996,ACBD5,10
DKFZP434A2417,ACBD5,10
MGC2404,ACBD6,1
ACBD6,ACBD6,1
ACBD7,ACBD7,10
FLJ38219,ACBD7,10
BA455B2.2,ACBD7,10
ACS,ACCS,11
PHACS,ACCS,11
ACCS,ACCS,11
ACCSL,ACCSL,11
ACCSLP1,ACCSLP1,6
TPP1,ACD,16
TINT1,ACD,16
PTOP,ACD,16
PIP1,ACD,16
ACD,ACD,16
DCP1,ACE,17
ACE1,ACE,17
CD143,ACE,17
ACE,ACE,17
ACE2,ACE2,X
ACEH,ACE2,X
GS1-594A7.3,ACE2-DT,X
ACE2-DT,ACE2-DT,X
ACE3P,ACE3P,17
ASAH3,ACER1,19
ACER1,ACER1,19
FLJ41587,ACER2,9
ASAH3L,ACER2,9
ACER2,ACER2,9
ALKCDASE2,ACER2,9
ACER2P1,ACER2P1,2
ACER3,ACER3,11
APHC,ACER3,11
PHCA,ACER3,11
FLJ11238,ACER3,11
ACER3-AS1,ACER3-AS1,11
ACHE,ACHE,7
YT,ACHE,7
ACINUS,ACIN1,14
ACIN1,ACIN1,14
FSAP152,ACIN1,14
KIAA0670,ACIN1,14
FY,ACKR1,1
ACKR1,ACKR1,1
GPD,ACKR1,1
CD234,ACKR1,1
CCBP1,ACKR1,1
DARC,ACKR1,1
DFY,ACKR1,1
CMKBR9,ACKR2,3
CCR10,ACKR2,3
ACKR2,ACKR2,3
CCR9,ACKR2,3
CCBP2,ACKR2,3
D6,ACKR2,3
GPR159,ACKR3,2
CMKOR1,ACKR3,2
CXCR7,ACKR3,2
ACKR3,ACKR3,2
RDC1,ACKR3,2
VSHK1,ACKR4,3
CCRL1,ACKR4,3
CCR11,ACKR4,3
ACKR4,ACKR4,3
CCX-CKR,ACKR4,3
PPR1,ACKR4,3
CCBP2,ACKR4,3
CCRL1P,ACKR4P1,6
ACKR4P1,ACKR4P1,6
DJ509I19.4,ACKR4P1,6
CCRL1P1,ACKR4P1,6
ACL,ACLY,17
ACLY,ACLY,17
ATPCL,ACLY,17
CLATP,ACLY,17
ACMSD,ACMSD,2
BAATP1,ACNATP,9
ACNATP,ACNATP,9
IRP1,ACO1,9
IREBP,ACO1,9
IREB1,ACO1,9
ACO1,ACO1,9
ACONM,ACO2,22
ACO2,ACO2,22
ACO2P1,ACO2P1,22
ACO2P2,ACO2P2,1
CAD,ACOD1,13
IRG1,ACOD1,13
ACOD1,ACOD1,13
LACH2,ACOT1,14
CTE-1,ACOT1,14
ACH2,ACOT1,14
ACOT1,ACOT1,14
KIAA0707,ACOT11,1
THEM1,ACOT11,1
BFIT1,ACOT11,1
ACOT11,ACOT11,1
THEA,ACOT11,1
BFIT,ACOT11,1
STARD14,ACOT11,1
STARD15,ACOT12,5
THEAL,ACOT12,5
CACH,ACOT12,5
ACOT12,ACOT12,5
HT012,ACOT13,6
THEM2,ACOT13,6
ACOT13,ACOT13,6
ACOT2,ACOT2,14
MTE1,ACOT2,14
ZAP128,ACOT2,14
PTE2B,ACOT4,14
FLJ31235,ACOT4,14
PTE-IB,ACOT4,14
ACOT4,ACOT4,14
C14orf42,ACOT6,14
ACOT6,ACOT6,14
ACT,ACOT7,1
LACH1,ACOT7,1
ACH1,ACOT7,1
CTE-II,ACOT7,1
MGC1126,ACOT7,1
BACH,ACOT7,1
ACOT7,ACOT7,1
HBACH,ACOT7,1
HACTE-III,ACOT8,20
NAP1,ACOT8,20
PTE1,ACOT8,20
PTE-2,ACOT8,20
ACOT8,ACOT8,20
HTE,ACOT8,20
ACOT9,ACOT9,X
CGI-16,ACOT9,X
MT-ACT48,ACOT9,X
ACATE2,ACOT9,X
ACOX1,ACOX1,17
PALMCOX,ACOX1,17
ACOX2,ACOX2,3
BRCACOX,ACOX2,3
BRCOX,ACOX2,3
THCCOX,ACOX2,3
ACOX3,ACOX3,4
ACOX4,ACOXL,2
ACOXL,ACOXL,2
FLJ11042,ACOXL,2
ACOXL-AS1,ACOXL-AS1,2
ACP1,ACP1,2
HAAP,ACP1,2
LMWPTP,ACP1,2
LMW-PTP,ACP1,2
LAP,ACP2,11
ACP2,ACP2,11
ACPP,ACP3,3
ACP3,ACP3,3
ACP-3,ACP3,3
PAP,ACP3,3
TM-PAP,ACP3,3
ACP4,ACP4,19
ACPT,ACP4,19
HPAP,ACP5,19
ACP5,ACP5,19
TRACP,ACP5,19
TRAP,ACP5,19
ACP6,ACP6,1
LPAP,ACP6,1
ACPL1,ACP6,1
PAPL,ACP7,19
FLJ16165,ACP7,19
PAPL1,ACP7,19
ACP7,ACP7,19
ACR,ACR,22
ACRBP,ACRBP,12
OY-TES-1,ACRBP,12
SP32,ACRBP,12
CT23,ACRBP,12
ACRP1,ACRP1,2
SPACA2,ACRV1,11
ACRV1,ACRV1,11
SP-10,ACRV1,11
D11S4365,ACRV1,11
BGM,ACSBG1,15
HSBG,ACSBG1,15
KIAA0631,ACSBG1,15
BG1,ACSBG1,15
MGC14352,ACSBG1,15
HBG1,ACSBG1,15
ACSBG1,ACSBG1,15
FLJ30320,ACSBG1,15
BGR,ACSBG2,19
ACSBG2,ACSBG2,19
PRTD-NY3,ACSBG2,19
DKFZP434K1635,ACSBG2,19
FLJ20920,ACSF2,17
ACSF2,ACSF2,17
ACSMW,ACSF2,17
ACSF3,ACSF3,16
LACS1,ACSL1,4
FACL1,ACSL1,4
FACL2,ACSL1,4
ACSL1,ACSL1,4
LACS2,ACSL1,4
LACS,ACSL1,4
ACS1,ACSL1,4
FACL3,ACSL3,2
ACSL3,ACSL3,2
PRO2194,ACSL3,2
ACS3,ACSL3,2
ACSL3-AS1,ACSL3-AS1,2
ACSL3P1,ACSL3P1,3
MRX63,ACSL4,X
MRX68,ACSL4,X
FACL4,ACSL4,X
LACS4,ACSL4,X
ACS4,ACSL4,X
ACSL4,ACSL4,X
FACL5,ACSL5,10
ACS2,ACSL5,10
ACSL5,ACSL5,10
ACS5,ACSL5,10
KIAA0837,ACSL6,5
ACS2,ACSL6,5
LACS5,ACSL6,5
ACSL6,ACSL6,5
LACS2,ACSL6,5
FACL6,ACSL6,5
ACSL6-AS1,ACSL6-AS1,5
ACSM1,ACSM1,16
BUCS1,ACSM1,16
MACS1,ACSM1,16
A-923A4.1,ACSM2A,16
ACSM2A,ACSM2A,16
ACSM2,ACSM2A,16
MGC150530,ACSM2A,16
ACSM2,ACSM2B,16
HYST1046,ACSM2B,16
ACSM2B,ACSM2B,16
HXMA,ACSM2B,16
SAH,ACSM3,16
ACSM3,ACSM3,16
SA,ACSM3,16
ACSM4,ACSM4,12
ACSM5,ACSM5,16
FLJ20581,ACSM5,16
ACSM5P1,ACSM5P1,16
ACSM6,ACSM6,10
BA310E22.3,ACSM6,10
C10orf129,ACSM6,10
ACECS2L,ACSS1,20
ACSS1,ACSS1,20
DJ568C11.3,ACSS1,20
ACAS2L,ACSS1,20
MGC33843,ACSS1,20
ACAS2,ACSS2,20
DJ1161H23.1,ACSS2,20
ACS,ACSS2,20
ACSS2,ACSS2,20
ACSA,ACSS2,20
ACECS,ACSS2,20
ACSS3,ACSS3,12
FLJ21963,ACSS3,12
ACSS3-AS1,ACSS3-AS1,12
ACTA1,ACTA1,1
ACTA,ACTA1,1
NEM3,ACTA1,1
ACTSA,ACTA2,10
ACTA2,ACTA2,10
ACTA2-AS1,ACTA2-AS1,10
UC001KFO.1,ACTA2-AS1,10
UC001KFO,ACTA2-AS1,10
ZXF1,ACTA2-AS1,10
ACTB,ACTB,7
ACTBL2,ACTBL2,5
DKFZP686D0972,ACTBL2,5
ACTBP1,ACTBP1,X
ACTBP10,ACTBP10,14
ACTBP11,ACTBP11,1
ACTGP5,ACTBP12,1
ACTBP12,ACTBP12,1
ACTBP14,ACTBP14,10
ACTBP15,ACTBP15,22
ACTBP16,ACTBP16,3
ACTBP2,ACTBP2,5
ACTBP3,ACTBP3,18
ACTBP4,ACTBP4,5
ACTBP6,ACTBP6,8
ACTBP7,ACTBP7,15
ACTBP2,ACTBP8,6
ACTBP8,ACTBP8,6
ACTBP9,ACTBP9,18
ACTC1,ACTC1,15
CMD1R,ACTC1,15
ACTC,ACTC1,15
ACTE1P,ACTE1P,11
ACTG,ACTG1,17
DFNA26,ACTG1,17
DFNA20,ACTG1,17
ACTG1,ACTG1,17
ACTGP1,ACTG1P1,3
ACTG1P1,ACTG1P1,3
ACT1GP1,ACTG1P1,3
ACTGP10,ACTG1P10,X
ACTG1P10,ACTG1P10,X
ACTL1,ACTG1P10,X
ACTG1P11,ACTG1P11,Y
ACTG1P12,ACTG1P12,3
ACTG1P13,ACTG1P13,3
ACTG1P14,ACTG1P14,9
ACTG1P15,ACTG1P15,15
ACTG1P16,ACTG1P16,16
ACTG1P17,ACTG1P17,15
ACTG1P18,ACTG1P18,6
ACTG1P19,ACTG1P19,9
ACTGP2,ACTG1P2,Y
ACTG1P2,ACTG1P2,Y
ACTL2,ACTG1P2,Y
ACTG1P20,ACTG1P20,1
ACTG1P21,ACTG1P21,1
ACTG1P22,ACTG1P22,2
ACTG1P23,ACTG1P23,3
POTENP,ACTG1P24,17
ACTG1P24,ACTG1P24,17
AGPG,ACTG1P25,1
ACTG1P25,ACTG1P25,1
ACTG1P3,ACTG1P3,20
ACTGP3,ACTG1P3,20
ACTGP4,ACTG1P4,1
ACTG1P4,ACTG1P4,1
ACTG1P6,ACTG1P6,1
ACTGP6,ACTG1P6,1
ACTG1P7,ACTG1P7,1
ACTGP7,ACTG1P7,1
ACTGP8,ACTG1P8,1
ACTG1P8,ACTG1P8,1
ACTG1P9,ACTG1P9,6
ACTGP9,ACTG1P9,6
ACTG2,ACTG2,2
ACTSG,ACTG2,2
ACTL3,ACTG2,2
ACTA3,ACTG2,2
C20orf134,ACTL10,20
ACTL10,ACTL10,20
ACTL11P,ACTL11P,3
ACTBP13,ACTL11P,3
BAF53A,ACTL6A,3
ACTL6A,ACTL6A,3
SMARCN1,ACTL6A,3
ARP4,ACTL6A,3
ACTL6,ACTL6A,3
INO80K,ACTL6A,3
BAF53B,ACTL6B,7
ACTL6,ACTL6B,7
SMARCN2,ACTL6B,7
ACTL6B,ACTL6B,7
ACTL7A,ACTL7A,9
TACT1,ACTL7B,9
ACTL7B,ACTL7B,9
CT57,ACTL8,1
ACTL8,ACTL8,1
ACTL9,ACTL9,19
